Timestamp,Participant Id,Which chat applications did you search in?,Can you share the query text you typed in your chat application Search Textbox?,What was your search intent when issuing this query to search your historical chat?,What chat objects satisfied your search intents when you used the search function?,How did you search your previous chat conversations?,How were the results displayed when you performed this search? ,How satisfied were you with the results being displayed in that way?,How satisfied were you with the quality of the search results?,How satisfied were you with the chat applications search experience?
9/28/2023 15:41:55,101,MS Teams,Searched by person's name  ,Assigned tasks to members,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",7,7,0
9/28/2023 15:43:37,101,MS Teams,Group chat name ,Work / Social announcements,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",7,7,0
9/28/2023 15:45:51,101,MS Teams,Ctrl+F to search current location ,"Entities (e.g. People, Brands, places, Movies)",Thread of conversation,Manually e.g. scrolling up and down,"A list of short segments from a conversation, in chronological order",7,7,0
9/28/2023 15:46:52,101,MS Teams,Person's name ,Refresh memory about what was said/discussed,Text messages,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",7,7,0
9/28/2023 15:49:31,101,MS Teams,Ctrl+F and typed a word to find messages within a particular chat,Refresh memory about what was said/discussed,Thread of conversation,Keywords within a textbox,"A list of individual messages, in chronological order",7,7,0
9/28/2023 15:52:09,101,MS Teams,name of file ,Resources,Document,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",7,7,0
9/28/2023 15:54:48,101,MS Teams,search for conversation in a channel ,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",7,7,0
9/28/2023 15:56:18,101,MS Teams,Person's name ,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of conversations (multiple, subsequent messages), in relevance/best-match order",7,7,0
9/28/2023 15:57:38,101,MS Teams,searching for a file ,Resources,Document,"Keywords within a textbox with operators such as AND, OR, quotes, temporal ranges, a user (from/to), has_attachment",list of documents ,7,7,0
9/28/2023 15:58:30,101,MS Teams,Search for a channel ,Assigned tasks to members,Thread of conversation,Manually e.g. scrolling up and down,"A list of short segments from a conversation, in chronological order",7,7,0
10/3/2023 16:40:37,101,MS Teams,Search file name,Resources,Specific keywords or phrases mentioned in the chat.,Keywords within a textbox,"A list of individual messages, in chronological order",7,6,0
10/3/2023 16:45:48,101,MS Teams,search for a person's name,Assigned tasks to members,Names of people or channels/groups mentioned in the chat.,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",7,6,0
10/3/2023 16:48:19,101,MS Teams,Search for a channel,Refresh memory about what was said/discussed,"Multimedia (e.g. images, videos).",Keywords within a textbox,"A list of short segments from a conversation, in relevance/best-match order",7,6,0
10/3/2023 16:49:46,101,MS Teams,By a person's name,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",7,6,0
10/3/2023 16:51:32,101,MS Teams,ctrl + f to search a location,Resources,Document,"Keywords within a textbox with operators such as AND, OR, quotes, temporal ranges, a user (from/to), has_attachment","A list of short segments from a conversation, in relevance/best-match order",7,6,0
10/3/2023 16:53:32,101,MS Teams,search group's name,Work / Social announcements,Names of people or channels/groups mentioned in the chat.,Keywords within a textbox,"A list of conversations (multiple, subsequent messages), in chronological order",7,6,0
10/3/2023 16:54:19,101,MS Teams,search for a file,Resources,Document,Keywords within a textbox,"A list of individual messages, in chronological order",7,6,0
10/3/2023 16:55:15,101,MS Teams,ctrl + f to find a particular chat,Question-answering,Specific keywords or phrases mentioned in the chat.,"Keywords within a textbox with operators such as AND, OR, quotes, temporal ranges, a user (from/to), has_attachment","A list of individual messages, in relevance/best-match order",7,6,0
10/3/2023 16:57:03,101,MS Teams,to search for conversations in a channel,Refresh memory about what was said/discussed,Thread of conversation,"Keywords within a textbox with operators such as AND, OR, quotes, temporal ranges, a user (from/to), has_attachment","A list of conversations (multiple, subsequent messages), in relevance/best-match order",7,6,0
10/3/2023 16:57:49,101,MS Teams,search by person's name,Assigned tasks to members,Names of people or channels/groups mentioned in the chat.,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",7,6,0
9/13/2023 4:42:10,104,MS Teams,An employee first name only,Question-answering,Text messages,Keywords within a textbox,A list of few employees with the same first name ,6,5,0
9/13/2023 6:21:31,104,MS Teams,Destiny Dr,Resources,"Multimedia (e.g. images, videos).",Keywords within a textbox,"A list of individual messages, in relevance/best-match order",5,5,0
9/14/2023 3:37:21,104,MS Teams,First name,"Entities (e.g. People, Brands, places, Movies)",Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",5,4,0
9/21/2023 4:34:52,104,MS Teams,First Name,Question-answering,Text messages,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",5,4,0
9/26/2023 0:15:38,104,MS Teams,K Street,Resources,Document,Keywords within a textbox,"A list of individual messages, in chronological order",4,4,0
9/26/2023 0:17:27,104,MS Teams,First Name,Refresh memory about what was said/discussed,Thread of conversation,Keywords within a textbox,"A list of individual messages, in chronological order",5,5,0
9/26/2023 5:33:25,104,MS Teams,Scrolling,Resources,Document,Manually e.g. scrolling up and down,"A list of conversations, in historical order",5,5,0
9/26/2023 5:46:29,104,MS Teams,crossing assessment,Refresh memory about what was said/discussed,Text messages,Keywords within a textbox,"A list of individual messages, in chronological order",5,5,0
9/26/2023 6:42:31,104,MS Teams,EPG,Work / Social announcements,Text messages,Keywords within a textbox,"A list of individual messages, in chronological order",4,4,0
9/26/2023 6:53:54,104,MS Teams,First Name,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",4,5,0
9/26/2023 22:35:40,104,MS Teams,DDOT,Refresh memory about what was said/discussed,Thread of conversation,Keywords within a textbox,"A list of individual messages, in chronological order",5,5,0
9/26/2023 22:36:38,104,MS Teams,First Name,Resources,Document,Keywords within a textbox,"A list of individual messages, in chronological order",4,5,0
9/26/2023 22:37:36,104,MS Teams,Rooftop,Work / Social announcements,Text messages,Keywords within a textbox,"A list of individual messages, in chronological order",6,6,0
9/27/2023 0:34:39,104,MS Teams,Furst Name,Assigned tasks to members,Names of people or channels/groups mentioned in the chat.,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",5,5,0
9/27/2023 0:53:12,104,MS Teams,VDOT,Resources,Document,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",4,4,0
9/27/2023 3:15:56,104,MS Teams,Raised Median,Refresh memory about what was said/discussed,Thread of conversation,Keywords within a textbox,"A list of individual messages, in chronological order",4,4,0
9/27/2023 6:25:05,104,MS Teams,Route 50,Assigned tasks to members,Thread of conversation,Keywords within a textbox,"A list of individual messages, in chronological order",5,5,0
9/27/2023 22:31:18,104,MS Teams,Woodgrove,Assigned tasks to members,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",4,4,0
9/27/2023 22:33:19,104,MS Teams,Technology Luncheon,Work / Social announcements,Text messages,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",4,5,0
9/28/2023 0:45:52,104,MS Teams,First Name,"Entities (e.g. People, Brands, places, Movies)",Names of people or channels/groups mentioned in the chat.,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",6,6,0
9/28/2023 0:46:50,104,MS Teams,First Name,"Entities (e.g. People, Brands, places, Movies)",Names of people or channels/groups mentioned in the chat.,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",6,6,0
9/28/2023 2:05:54,104,MS Teams,Evening Star Rd,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",6,6,0
9/28/2023 2:08:25,104,MS Teams,MOE table,Resources,Document,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",4,4,0
9/28/2023 2:11:38,104,MS Teams,First Name,Assigned tasks to members,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",5,5,0
9/28/2023 2:32:01,104,MS Teams,EPG,Work / Social announcements,"Multimedia (e.g. images, videos).",Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",5,4,0
9/28/2023 2:38:44,104,MS Teams,Nearmap,Resources,Text messages,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",5,5,0
9/28/2023 2:47:15,104,MS Teams,Bi-weekly meeting,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",5,5,0
9/28/2023 4:12:38,104,MS Teams,Existing conditions,Resources,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",5,5,0
9/28/2023 7:04:46,104,MS Teams,VISSIM,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",5,5,0
9/14/2023 15:30:31,105,MS Teams,,"Entities (e.g. People, Brands, places, Movies)",Text messages,Keywords within a textbox,"A list of individual messages, in chronological order",5,5,0
9/14/2023 16:04:38,105,MS Teams,,Refresh memory about what was said/discussed,Text messages,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",7,6,0
9/14/2023 19:29:19,105,MS Teams,User ,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",5,4,0
9/17/2023 15:50:04,105,MS Teams,E-mail,"Entities (e.g. People, Brands, places, Movies)",Names of people or channels/groups mentioned in the chat.,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",6,6,0
9/17/2023 16:47:23,105,MS Teams,Meeting,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",6,4,0
9/17/2023 16:49:54,105,MS Teams,Mansour,"Entities (e.g. People, Brands, places, Movies)",Names of people or channels/groups mentioned in the chat.,Keywords within a textbox,"A list of individual messages, in relevance/best-match order",5,6,0
9/17/2023 21:44:25,105,MS Teams,RGR,Assigned tasks to members,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",5,4,0
9/18/2023 19:57:04,105,MS Teams,,"Entities (e.g. People, Brands, places, Movies)",Names of people or channels/groups mentioned in the chat.,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",5,4,0
9/18/2023 19:58:47,105,MS Teams,Searching for excel file,Resources,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",3,3,0
9/20/2023 20:59:03,105,MS Teams,Query ,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",4,3,0
9/28/2023 17:09:21,105,MS Teams,RESET,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",4,5,0
9/28/2023 17:11:04,105,MS Teams,Link,"Entities (e.g. People, Brands, places, Movies)",URL link,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",2,3,0
9/28/2023 17:17:36,105,MS Teams,Extension ,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",3,4,0
9/28/2023 18:32:59,105,MS Teams,Implementation,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",4,3,0
9/28/2023 21:16:12,105,MS Teams,Fahad,"Entities (e.g. People, Brands, places, Movies)",Names of people or channels/groups mentioned in the chat.,Keywords within a textbox,"A list of individual messages, in chronological order",5,4,0
9/28/2023 22:23:14,105,MS Teams,BY WMS,Refresh memory about what was said/discussed,Text messages,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",3,4,0
10/3/2023 16:05:52,105,MS Teams,Top priority,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",4,3,0
10/3/2023 16:06:35,105,MS Teams,Devops,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",5,3,0
10/3/2023 16:07:20,105,MS Teams,meeting,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",3,5,0
10/3/2023 16:21:30,105,MS Teams,Osama,"Entities (e.g. People, Brands, places, Movies)",Names of people or channels/groups mentioned in the chat.,Keywords within a textbox,"A list of individual messages, in chronological order",5,4,0
10/3/2023 16:27:09,105,MS Teams,BY planning,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",4,5,0
10/3/2023 16:28:31,105,MS Teams,Hatem,"Entities (e.g. People, Brands, places, Movies)",Names of people or channels/groups mentioned in the chat.,Keywords within a textbox,"A list of individual messages, in relevance/best-match order",2,4,0
10/3/2023 16:38:28,105,MS Teams,Testing ,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",3,2,0
10/3/2023 16:39:58,105,MS Teams,Link dev,Refresh memory about what was said/discussed,Thread of conversation,Keywords within a textbox,"A list of individual messages, in relevance/best-match order",3,4,0
10/3/2023 16:53:56,105,MS Teams,Receiving and invoicing ,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",3,4,0
10/3/2023 17:02:21,105,MS Teams,Catalogue module,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",3,3,0
10/2/2023 18:35:31,106,Discord,,Refresh memory about what was said/discussed,Text messages,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",7,7,0
9/20/2023 20:48:57,107,MS Teams,Emergency response valve MOC,Resources,Document,Keywords within a textbox,"A list of short segments from a conversation, in chronological order",4,4,0
9/20/2023 20:50:23,107,MS Teams,Individual name (Private),"Entities (e.g. People, Brands, places, Movies)",Text messages,Keywords within a textbox,"A list of individual messages, in chronological order",5,4,0
9/20/2023 20:51:33,107,MS Teams,Acidization procedure ,Resources,Document,Keywords within a textbox,"A list of conversations (multiple, subsequent messages), in chronological order",4,4,0
9/20/2023 20:52:45,107,MS Teams,reference material link,Resources,URL link,Manually e.g. scrolling up and down,"A list of short segments from a conversation, in chronological order",3,5,0
9/20/2023 20:53:32,107,MS Teams,Contact details - Contractor,"Entities (e.g. People, Brands, places, Movies)",Thread of conversation,Keywords within a textbox,"A list of individual messages, in chronological order",5,4,0
9/20/2023 22:01:16,107,MS Teams,Conversation thread reminder ,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",4,5,0
9/20/2023 22:22:57,107,MS Teams,drops register,Resources,Document,Manually e.g. scrolling up and down,"A list of short segments from a conversation, in relevance/best-match order",4,5,0
9/20/2023 23:33:38,107,MS Teams,review chat content,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",4,4,0
9/20/2023 23:34:56,107,MS Teams,Procedural extract screen shot,Resources,"Multimedia (e.g. images, videos).",Manually e.g. scrolling up and down,"A list of conversations (multiple, subsequent messages), in relevance/best-match order",3,5,0
9/21/2023 21:34:18,107,MS Teams,HCL acid content %,Refresh memory about what was said/discussed,Thread of conversation,Keywords within a textbox,"A list of individual messages, in chronological order",5,4,0
9/21/2023 21:35:07,107,MS Teams,SDS Data sheet,Resources,URL link,Manually e.g. scrolling up and down,"A list of short segments from a conversation, in chronological order",5,5,0
9/21/2023 21:35:59,107,MS Teams,Individual contact details previously discussed. ,"Entities (e.g. People, Brands, places, Movies)",Thread of conversation,Keywords within a textbox,"A list of individual messages, in chronological order",5,6,0
9/21/2023 21:36:54,107,MS Teams,Program details - specific wording ,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of conversations (multiple, subsequent messages), in chronological order",4,5,0
9/21/2023 21:37:45,107,MS Teams,Product details - product name ,Resources,Document,Keywords within a textbox,"A list of short segments from a conversation, in chronological order",3,4,0
9/22/2023 22:52:05,107,MS Teams,PMITP,Resources,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",3,4,0
9/22/2023 22:53:07,107,MS Teams,product measurements ,Refresh memory about what was said/discussed,Specific keywords or phrases mentioned in the chat.,Keywords within a textbox,"A list of individual messages, in chronological order",5,4,0
9/22/2023 22:53:59,107,MS Teams,Date,Refresh memory about what was said/discussed,Thread of conversation,Keywords within a textbox,"A list of individual messages, in chronological order",5,5,0
10/3/2023 21:49:39,107,MS Teams,Personnel number,Question-answering,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",5,5,0
10/3/2023 21:50:25,107,MS Teams,Timewriting SAP codes ,Resources,Document,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",4,4,0
10/3/2023 21:52:20,107,MS Teams,HSSE Plan,Resources,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",5,4,0
10/3/2023 21:55:23,107,MS Teams,SOFA SLB,Resources,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",4,3,0
10/3/2023 21:56:40,107,MS Teams,Drops audit,Refresh memory about what was said/discussed,Document,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",3,4,0
9/19/2023 17:46:44,109,MS Teams,PF707,Resources,Document,Manually e.g. scrolling up and down,gave me the document,7,7,0
9/20/2023 10:44:35,109,MS Teams,,"Entities (e.g. People, Brands, places, Movies)",Names of people or channels/groups mentioned in the chat.,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",7,7,0
9/21/2023 9:30:44,109,MS Teams,Ray,"Entities (e.g. People, Brands, places, Movies)",Names of people or channels/groups mentioned in the chat.,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",5,6,0
9/21/2023 9:32:41,109,MS Teams,HVA,Resources,Document,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",5,6,0
9/26/2023 10:47:09,109,MS Teams,Meg,"Entities (e.g. People, Brands, places, Movies)",Names of people or channels/groups mentioned in the chat.,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",7,7,0
9/28/2023 13:31:41,109,MS Teams,,"Entities (e.g. People, Brands, places, Movies)",Names of people or channels/groups mentioned in the chat.,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",7,7,0
9/28/2023 15:08:15,109,MS Teams,,Resources,Document,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",5,5,0
10/3/2023 9:56:25,109,MS Teams,,"Entities (e.g. People, Brands, places, Movies)",Names of people or channels/groups mentioned in the chat.,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",6,6,0
10/5/2023 11:44:07,109,MS Teams,Roo,Resources,Document,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",6,6,0
9/21/2023 5:26:12,110,MS Teams,Specification search (document),Resources,Document,Keywords within a textbox,"A list of conversations (multiple, subsequent messages), in chronological order",4,3,0
9/22/2023 13:47:24,110,MS Teams,Governance (looking for chats or documents on Governance),Refresh memory about what was said/discussed,Thread of conversation,Keywords within a textbox,"A list of conversations (multiple, subsequent messages), in chronological order",5,5,0
9/23/2023 9:21:39,110,MS Teams,Team workshop 20/9,Refresh memory about what was said/discussed,"Nothing relevant. Then searched for meeting name, dropped date",Keywords within a textbox,Nothing relevant,1,1,0
9/27/2023 12:44:43,110,MS Teams,Strategic plan ,Assigned tasks to members,Thread of conversation,Keywords within a textbox,"A list of individual messages, in relevance/best-match order",3,3,0
9/27/2023 12:45:53,110,MS Teams,Looking for a conversation in chat list,Question-answering,Text messages,Natural language phrase/questions,"A list of individual messages, in chronological order",5,5,0
9/28/2023 18:48:01,110,MS Teams,Invite to group,Work / Social announcements,URL link,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",4,4,0
9/29/2023 12:04:41,110,MS Teams,Sent messages re compliance ,Resources,Thread of conversation,Keywords within a textbox,"A list of individual messages, in chronological order",5,4,0
10/2/2023 13:38:01,110,MS Teams,Digital+ tech+weekly ,Question-answering,"Multimedia (e.g. images, videos).",Keywords within a textbox,"A list of conversations (multiple, subsequent messages), in chronological order",5,4,0
10/2/2023 13:39:08,110,MS Teams,Solution Diagram,Assigned tasks to members,URL link,"Keywords within a textbox with operators such as AND, OR, quotes, temporal ranges, a user (from/to), has_attachment","A list of conversations (multiple, subsequent messages), in chronological order",4,4,0
10/2/2023 13:40:00,110,MS Teams,Person,Work / Social announcements,Specific keywords or phrases mentioned in the chat.,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",5,5,0
10/3/2023 13:26:30,110,MS Teams,,Assigned tasks to members,Document,"Keywords within a textbox with operators such as AND, OR, quotes, temporal ranges, a user (from/to), has_attachment","A list of short segments from a conversation, in relevance/best-match order",4,4,0
10/3/2023 13:27:41,110,MS Teams,Stakeholder+FIT,Resources,Document,Keywords within a textbox,"A list of individual messages, in relevance/best-match order",2,3,0
10/3/2023 13:30:16,110,MS Teams,Diagram+name,Resources,"Multimedia (e.g. images, videos).",Keywords within a textbox,"A list of conversations (multiple, subsequent messages), in relevance/best-match order",3,4,0
10/3/2023 13:31:05,110,MS Teams,Person name ,"Entities (e.g. People, Brands, places, Movies)",URL link,Keywords within a textbox,"A list of short segments from a conversation, in chronological order",5,5,0
10/4/2023 16:09:31,110,MS Teams,Meeting recording,Refresh memory about what was said/discussed,"Multimedia (e.g. images, videos).","Keywords within a textbox with operators such as AND, OR, quotes, temporal ranges, a user (from/to), has_attachment","A list of conversations (multiple, subsequent messages), in relevance/best-match order",5,5,0
10/4/2023 16:10:35,110,MS Teams,Document ,"Entities (e.g. People, Brands, places, Movies)",Document,Natural language phrase/questions,Word documents,3,3,0
10/4/2023 16:11:30,110,MS Teams,URL,Resources,URL link,"Keywords within a textbox with operators such as AND, OR, quotes, temporal ranges, a user (from/to), has_attachment","A list of short segments from a conversation, in relevance/best-match order",5,6,0
10/4/2023 16:12:55,110,MS Teams,Requirements+job number,Resources,Document,Keywords within a textbox,Document list,5,6,0
10/4/2023 16:13:31,110,MS Teams,Name,Work / Social announcements,Thread of conversation,Manually e.g. scrolling up and down,"A list of conversations (multiple, subsequent messages), in chronological order",4,5,0
10/6/2023 2:27:41,110,MS Teams,Meeting notes,Question-answering,Specific keywords or phrases mentioned in the chat.,Keywords within a textbox,"A list of conversations (multiple, subsequent messages), in chronological order",3,2,0
10/6/2023 2:30:19,110,MS Teams,Name,Refresh memory about what was said/discussed,Text messages,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",5,5,0
10/6/2023 2:31:28,110,MS Teams,Meeting cadence,Resources,Document,Keywords within a textbox,"A list of short segments from a conversation, in relevance/best-match order",6,5,0
10/6/2023 2:34:40,110,MS Teams,@name,Assigned tasks to members,Thread of conversation,"Keywords within a textbox with operators such as AND, OR, quotes, temporal ranges, a user (from/to), has_attachment",Name to message ,5,4,0
10/6/2023 2:39:24,110,MS Teams,,"Entities (e.g. People, Brands, places, Movies)",Names of people or channels/groups mentioned in the chat.,Keywords within a textbox,"A list of short segments from a conversation, in relevance/best-match order",4,3,0
9/19/2023 23:47:06,111,MS Teams,integration ,Work / Social announcements,Text messages,Keywords within a textbox,"A list of individual messages, in relevance/best-match order",3,3,0
9/21/2023 19:43:57,111,MS Teams,MOH,Assigned tasks to members,Text messages,Keywords within a textbox,"A list of individual messages, in chronological order",3,3,0
9/28/2023 17:52:33,111,MS Teams,Intisar,"Entities (e.g. People, Brands, places, Movies)",Names of people or channels/groups mentioned in the chat.,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",3,2,0
9/28/2023 17:54:08,111,MS Teams,training,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",3,2,0
9/28/2023 17:56:32,111,MS Teams,Buthainah,"Entities (e.g. People, Brands, places, Movies)",Text messages,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",4,2,0
9/28/2023 18:03:34,111,MS Teams,Dhafer,"Entities (e.g. People, Brands, places, Movies)",Text messages,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",3,3,0
9/26/2023 13:02:35,114,Slack,office number,Refresh memory about what was said/discussed,Specific keywords or phrases mentioned in the chat.,Keywords within a textbox,"A list of individual messages, in relevance/best-match order",6,6,0
9/26/2023 13:07:12,114,Slack,bunya,Resources,URL link,Keywords within a textbox,"A list of individual messages, in relevance/best-match order",5,6,0
9/26/2023 13:10:25,114,Slack,,Resources,Specific keywords or phrases mentioned in the chat.,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",5,4,0
9/26/2023 13:12:43,114,Slack,,Resources,Document,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",5,5,0
10/2/2023 9:45:17,114,Slack,,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",5,5,0
10/2/2023 9:47:13,114,Slack,salam email,Resources,Specific keywords or phrases mentioned in the chat.,Keywords within a textbox,"A list of individual messages, in relevance/best-match order",2,3,0
10/2/2023 9:49:23,114,Slack,annapurna,Resources,Text messages,Keywords within a textbox,"A list of individual messages, in relevance/best-match order",5,4,0
10/2/2023 9:51:20,114,Slack,gs-,Resources,Specific keywords or phrases mentioned in the chat.,Keywords within a textbox,"A list of individual messages, in chronological order",5,5,0
